table_id,row_count
6383,3
6370,3
4337,3
3970,3
3968,3
3939,3
5805,3
7749,3
3989,3
4335,3
5801,3
3929,3
5259,3
4371,3
4377,3
4122,3
5807,3
3927,3
7384,3
3771,3
4327,3
4855,3
3769,3
7735,3
4131,3
7804,3
6364,3
4902,3
3923,3
6374,3
4325,3
4277,3
7390,3
3980,3
3925,3
4911,3
4923,3
4389,3
7717,3
4279,3
6858,3
7382,3
5226,3
4931,3
4266,3
5242,3
4146,3
3778,3
4135,3
3952,3
6856,3
4323,3
5218,3
5261,3
4113,3
7372,3
7374,3
5248,3
5803,3
6366,3
4379,3
5813,3
6828,3
5252,3
7710,3
7688,3
6826,3
7376,3
4133,3
5250,3
5809,3
7754,3
3966,3
7395,3
6938,3
3780,3
3998,3
4124,3
4381,3
5820,3
7741,3
4120,3
6926,3
4339,3
7397,3
4264,3
4385,3
6846,3
4387,3
3955,3
7386,3
5237,3
5244,3
7380,3
4329,3
4933,3
4321,3
5822,3
6862,3
5254,3
6376,3
3773,3
4129,3
4914,3
6368,3
6836,3
3935,3
4878,3
5815,3
4333,3
3931,3
3964,3
7723,3
4373,3
4001,3
6381,3
6840,3
4871,3
5782,3
6348,3
7388,3
4331,3
4157,3
4929,3
6356,3
3937,3
3767,3
4862,3
3962,3
6372,3
7699,3
3933,3
7378,3
4383,3
6340,3
4127,3
4116,3
7730,3
6853,3
6860,3
4375,3
5793,3
3921,3
4891,3
5246,3
7812,3
3975,3
5811,3
7491,2
4051,2
6460,2
5275,2
5266,2
4227,2
5268,2
7478,2
5007,2
6040,2
4058,2
3789,2
5264,2
7009,2
6456,2
4213,2
4989,2
3801,2
7885,2
3795,2
7004,2
4184,2
7494,2
4224,2
5851,2
6027,2
7001,2
7487,2
7844,2
6442,2
5267,2
4045,2
5869,2
4210,2
7866,2
5284,2
4206,2
6475,2
7839,2
7015,2
7833,2
4053,2
4443,2
6455,2
3817,2
7505,2
4049,2
3811,2
4221,2
3878,2
7512,2
4209,2
4996,2
3790,2
4438,2
7835,2
4455,2
7631,2
4285,2
6523,2
5895,2
7005,2
7481,2
4055,2
3805,2
5263,2
7484,2
4015,2
4888,2
4218,2
4433,2
4006,2
3785,2
6489,2
4998,2
4280,2
7847,2
7021,2
4046,2
7095,2
5272,2
6486,2
3786,2
5262,2
4147,2
4050,2
4420,2
7479,2
4906,2
4536,2
5270,2
5887,2
4064,2
4994,2
3893,2
7000,2
5849,2
5354,2
4441,2
6470,2
5861,2
7841,2
6467,2
6466,2
7496,2
7018,2
4047,2
6463,2
4267,2
7639,2
7477,2
6528,2
5281,2
4061,2
5866,2
4215,2
7836,2
4435,2
7500,2
4434,2
4990,2
5004,2
7012,2
4272,2
7943,2
5359,2
6483,2
7003,2
4211,2
5010,2
7827,2
7837,2
4992,2
3793,2
4449,2
3982,2
6492,2
5862,2
7007,2
6999,2
4437,2
5278,2
4993,2
3885,2
5858,2
5855,2
4205,2
5881,2
3791,2
4439,2
4189,2
4446,2
4988,2
5877,2
6028,2
7517,2
4452,2
7829,2
7853,2
4505,2
7850,2
3787,2
5336,2
7090,2
7070,2
7948,2
5001,2
5038,2
4067,2
4207,2
5256,1
6450,1
4392,1
5888,1
7641,1
4334,1
5890,1
7392,1
5277,1
4002,1
4126,1
5282,1
4820,1
7716,1
4230,1
4281,1
7669,1
7383,1
6852,1
7855,1
7365,1
4428,1
4074,1
5286,1
4287,1
7529,1
5002,1
3806,1
7944,1
6355,1
6497,1
7729,1
4220,1
7687,1
6484,1
6304,1
4315,1
5355,1
5225,1
7941,1
5810,1
4216,1
3993,1
7856,1
5274,1
3797,1
6805,1
4073,1
3932,1
3999,1
4432,1
4869,1
6493,1
5081,1
4859,1
4450,1
5279,1
7082,1
3829,1
4445,1
5245,1
4110,1
5008,1
7747,1
4365,1
4928,1
4324,1
5901,1
7851,1
3915,1
3813,1
6072,1
3803,1
6531,1
5016,1
6347,1
3914,1
4458,1
3949,1
7026,1
7753,1
4580,1
3951,1
3802,1
7506,1
7528,1
4069,1
4172,1
7643,1
7375,1
5904,1
5003,1
4895,1
6380,1
4854,1
7511,1
7078,1
4447,1
6367,1
7523,1
7865,1
7521,1
4023,1
7514,1
5821,1
6494,1
5745,1
4513,1
4226,1
4340,1
4462,1
5217,1
4932,1
4233,1
7006,1
5812,1
5236,1
6369,1
3926,1
4550,1
7522,1
4075,1
6859,1
5005,1
5382,1
7097,1
7526,1
3807,1
5260,1
6061,1
4063,1
4364,1
4555,1
4384,1
7016,1
6866,1
7647,1
3942,1
7024,1
7740,1
4366,1
7495,1
7391,1
3924,1
7635,1
4183,1
4328,1
5059,1
7671,1
5000,1
4191,1
5878,1
7029,1
3938,1
6365,1
3936,1
4062,1
4326,1
6375,1
4056,1
5818,1
5273,1
6373,1
5353,1
3909,1
4223,1
5755,1
4007,1
7373,1
4448,1
7859,1
6377,1
7848,1
4936,1
4813,1
7020,1
5255,1
5018,1
3954,1
3837,1
5808,1
7938,1
6861,1
3997,1
4066,1
4999,1
7939,1
3986,1
6835,1
5896,1
4457,1
4314,1
6522,1
5014,1
3779,1
5349,1
4278,1
4332,1
7393,1
4910,1
5800,1
5781,1
6500,1
6618,1
5249,1
5792,1
7845,1
7115,1
6825,1
5050,1
3828,1
5806,1
7857,1
4003,1
5819,1
4274,1
3827,1
4461,1
5814,1
5902,1
5283,1
3826,1
7519,1
7028,1
5013,1
7950,1
5241,1
6869,1
3950,1
4059,1
6362,1
4922,1
6052,1
5871,1
7645,1
6495,1
5289,1
4235,1
7366,1
4342,1
7861,1
7385,1
4901,1
7764,1
7849,1
7769,1
4341,1
7520,1
3890,1
7119,1
7394,1
6855,1
4343,1
6485,1
5009,1
4391,1
7377,1
5243,1
4913,1
3916,1
7838,1
3979,1
7709,1
4225,1
4065,1
4463,1
4109,1
4071,1
7905,1
4459,1
6047,1
4173,1
7019,1
4487,1
5291,1
6496,1
6476,1
5017,1
4995,1
5247,1
6613,1
7508,1
5816,1
4276,1
3819,1
4125,1
7396,1
4112,1
3905,1
4830,1
6378,1
4179,1
6795,1
4232,1
7022,1
3969,1
7854,1
6339,1
6070,1
7842,1
4454,1
7371,1
5181,1
4219,1
4909,1
4440,1
4935,1
4228,1
6827,1
4212,1
5898,1
4185,1
5290,1
4338,1
4890,1
7387,1
7091,1
7017,1
7010,1
5012,1
5285,1
5257,1
5015,1
7023,1
7808,1
7379,1
3792,1
6878,1
5903,1
5276,1
3772,1
5380,1
4460,1
5900,1
5079,1
5802,1
3879,1
6498,1
6490,1
3928,1
7367,1
4231,1
4000,1
5269,1
4382,1
4072,1
5011,1
6379,1
3953,1
6469,1
3820,1
7901,1
4376,1
6371,1
6845,1
6923,1
3768,1
4456,1
4162,1
4004,1
5863,1
6319,1
5804,1
4374,1
5046,1
7846,1
7011,1
7530,1
7497,1
6046,1
5251,1
7501,1
4578,1
5883,1
4057,1
4388,1
7852,1
4222,1
4378,1
6524,1
3812,1
3766,1
7670,1
4115,1
6499,1
4336,1
5899,1
3796,1
4444,1
3967,1
5288,1
5817,1
4930,1
6477,1
5191,1
5258,1
6382,1
4145,1
4132,1
4517,1
3934,1
7389,1
6487,1
4554,1
6454,1
7698,1
7860,1
7013,1
3825,1
5882,1
7858,1
4234,1
4316,1
7381,1
5280,1
5253,1
7121,1
5363,1
6809,1
5765,1
7734,1
3770,1
6839,1
5006,1
6031,1
3941,1
3777,1
6491,1
4128,1
7503,1
7027,1
5198,1
4123,1
7513,1
3940,1
3988,1
7758,1
6312,1
4111,1
5378,1
3830,1
4934,1
5292,1
4386,1
4451,1
7722,1
4156,1
7802,1
7014,1
4390,1
7025,1
4873,1
6936,1
7488,1
4068,1
6857,1
3965,1
4265,1
4453,1
4229,1
7843,1
4052,1
5287,1
5879,1
4070,1
4263,1
6488,1
5870,1
4268,1
4134,1
4060,1
4217,1
